1 	H 1	1s 1
2 	He 2	1s 2 	  	 
3 	Li 1	[He] 2s 1
4 	Be 2	[He] 2s 2
5 	B 3	[He] 2s 2 2p1
6 	C 4	[He] 2s 2 2p2
7 	N 5	[He] 2s 2 2p3
8 	0 6	[He] 2s 2 2p4
9 	F 7	[He] 2s 2 2p5
10 	Ne 8	[He] 2s 2 2p6
11 	Na 1	[Ne] 3s 1
12 	Mg 2	[Ne] 3s 2
13 	Al 3	[Ne] 3s 2 3p1
14 	Si 4	[Ne]3s 2 3p2
15 	P 5	[Ne] 3s 2 3p3
16 	S 6	[Ne] 3s 2 3p4
17 	Cl 7	[Ne] 3s 2 3p5
18 	Ar 8	[Ne] 3s 2 3p6	 
19 	K 1	[Ar] 4s 1
20 	Ca 2	[Ar] 4s 2
21 	Sc 3	[Ar] 3d 1 4s 2
22 	Ti 4	[Ar] 3d 2 4s 2
23 	V 5	[Ar] 3d 3 4s 2
24 	Cr 6	[Ar] 3d 5 4s 1
25 	Mn 7	[Ar] 3d 5 4s 2
26 	Fe 8	[Ar] 3d 6 4s 2
27 	Co 9	[Ar] 3d 7 4s 2
28 	Ni 10	[Ar] 3d 8 4s 2
29 	Cu 11	[Ar] 3d 10 4s 1
30 	Zn 12	[Ar] 3d 10 4s 2
31 	Ga 3	[Ar] 3d 10 4s 2 4p 1
32 	Ge 4	[Ar] 3d 10 4s 2 4p 2
33 	As 5	[Ar] 3d 10 4s 2 4p 3
34 	Se 6	[Ar] 3d 10 4s 2 4p 4
35 	Br 7	[Ar] 3d 10 4s 2 4p 5
36 	Kr 8	[Ar] 3d 10 4s 2 4p 6	 
37 	Rb 1	[Kr] 5s 1
38 	Sr 2	[Kr] 5s 2
39 	Y 3	[Kr] 4d 1 5s 2
40 	Zr 4	[Kr] 4d 2 5s 2
41 	Nb 5	[Kr] 4d 4 5s 1
42 	Mo 6	[Kr] 4d 5 5s 1
43 	Tc 7	[Kr] 4d 5 5s 2
44 	Ru 8	[Kr] 4d 7 5s 1
45 	Rh 9	[Kr] 4d 8 5s 1
46 	Pd 10	[Kr] 4d 10
47 	Ag 11	[Kr] 4d 10 5s 1
48 	Cd 12	[Kr] 4d 10 5s 2
49 	In 3	[Kr] 4d 10 5s 2 5p 1
50 	Sn 4	[Kr] 4d 10 5s 2 5p 2
51 	Sb 5	[Kr] 4d 10 5s 2 5p 3
52 	Te 6	[Kr] 4d 10 5s 2 5p 4
53 	I 7	[Kr] 4d 10 5s 2 5p 5
54 	Xe 8	[Kr] 4d 10 5s 2 5p 6	 
55 	Cs 1	[Xe] 6s 1
56 	Ba 2	[Xe] 6s 2
57 	La 3	[Xe] 5d 1 6s 2
58 	Ce 4	[Xe] 4f 1 5d 1 6s 2
59 	Pr 5	[Xe] 4f 3 6s 2
60 	Nd 6	[Xe] 4f 4 6s 2
61 	Pm 7	[Xe] 4f 5 6s 2
62 	Sm 8	[Xe] 4f 6 6s 2
63 	Eu 9	[Xe] 4f 7 6s 2
64 	Gd 10	[Xe] 4f 7 5d 1 6s 2
65 	Tb 11	[Xe] 4f 9 6s 2
66 	Dy 12	[Xe] 4f 10 6s 2
67 	Ho 13	[Xe] 4f 11 6s 2
68 	Er 14	[Xe] 4f 12 6s 2
69 	Tm 15	[Xe] 4f 13 6s 2
70 	Yb 16	[Xe] 4f 14 6s 2
71 	Lu 3	[Xe] 4f 14 5d 1 6s 2
72 	Hf 4	[Xe] 4f 14 5d 2 6s 2
73 	Ta 5	[Xe] 4f 14 5d 3 6s 2
74 	W 6	[Xe] 4f 14 5d 4 6s 2
75 	Re 7	[Xe] 4f 14 5d 5 6s 2
76 	Os 8	[Xe] 4f 14 5d 6 6s 2
77 	Ir 9	[Xe] 4f 14 5d 7 6s 2
78 	Pt 10	[Xe] 4f 14 5d 9 6s 1
79 	Au 11	[Xe] 4f 14 5d 10 6s 1
80 	Hg 12	[Xe] 4f 14 5d 10 6s 2
81 	Tl 3	[Xe] 4f 14 5d 10 6s 2 6p1
82 	Pb 4	[Xe] 4f 14 5d 10 6s 2 6p2
83 	Bi 5	[Xe] 4f 14 5d 10 6s 2 6p 3
84 	Po 6	[Xe] 4f 14 5d 10 6s 2 6p 4
85 	At 7	[Xe] 4f 14 5d 10 6s 2 6p 5
86 	Rn 8	[Xe] 4f 14 5d 10 6s 2 6p 6
87 	Fr 1	[Rn] 7s 1
88 	Ra 2	[Rn] 7s 2
89 	Ac 3	[Rn] 6d 1 7s 2
90 	Th 4	[Rn] 6d 2 7s 2
91 	Pa 5	[Rn] 5f 2 6d 1 7s 2
92 	U 6	[Rn] 5f 3 6d 1 7s 2
93 	Np 7	[Rn] 5f 4 6d 1 7s 2
94 	Pu 8	[Rn] 5f 6 7s 2
95 	Am 9	[Rn] 5f 7 7s 2
96 	Cm 10	[Rn] 5f 7 6d 1 s 2
97 	Bk 11	[Rn] 5f 9 s 2
98 	Cf 12	[Rn] 5f 10 s 2
99 	Es 13	[Rn] 5f 11 s 2
100 	Fm 14	[Rn] 5f 12 s 2
101 	Md 15	[Rn] 5f 13 s 2
102 	No 16	[Rn] 5f 14 s 2
103 	Lr 3	[Rn] 5f 14 6d 1 s 2
104 	Rf 4	[Rn] 5f 14 6d 2 s 2
